PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
29266514,Iron_oxide,NA,NA
29268142,Hybrid,NA,NA
29276823,Iron_oxide,314.6747352,Kidney
29282854,Gold,NA,NA
29308812,Iron_oxide,NA,NA
29323915,Gold,192.4,Liver
29336463,Gold,5652.44,Liver
29339188,Iron_oxide,229.5160191,Liver
29366881,Gold,NA,NA
29393566,Silica,NA,NA
29422620,Silica,NA,NA
29425846,Gold,1422.4,Liver
29452948,Silica,NA,NA
29471172,Gold,NA,NA
29480962,Hybrid,2.7,Liver
29498821,Gold,19.1,Liver
29500979,Gold,NA,NA
29501970,Hybrid,292.5,Spleen
29558152,Gold,NA,NA
29561590,Hybrid,NA,NA
29565139,Silica,NA,Liver
29569431,Iron_oxide,805.2631579,Liver
29570277,Iron_oxide,NA,NA
29641905,Gold,NA,NA
29649747,Iron_oxide,NA,NA
29652130,Iron_oxide,NA,Liver
29653288,Iron_oxide,645.1612903,Spleen
29667812,Gold,183.3,Kidney
29676908,Gold,NA,NA
29684497,Iron_oxide,NA,NA
29694478,Gold,91,Kidney
29706855,Silica,NA,NA
29726109,Gold,NA,NA
29733876,Iron_oxide,NA,NA
29733890,Silica,NA,NA
29771490,Silica,NA,NA
29791136,Gold,306.6,Liver
29799598,Gold,NA,NA
29803106,Silica,NA,NA
29808576,Silica,41.2,Liver
29812909,Gold,315.9,Liver
29863836,Iron_oxide,NA,NA
29870655,Gold,NA,NA
29885899,Gold,NA,NA
29890363,Iron_oxide,NA,NA
29892761,Iron_oxide,NA,NA
29893126,Iron_oxide,188.1050657,Spleen
29906096,Gold,NA,NA
29910700,Iron_oxide,NA,NA
29935333,Iron_oxide,NA,Liver
29963847,Hybrid,NA,NA
29969226,Gold,3.5,Liver
29979569,Iron_oxide,NA,NA
29982104,Iron_oxide,NA,NA
29992216,Silica,NA,NA
30006596,Gold,NA,NA
30020768,Gold,NA,NA
30020771,Silica,11.8,Liver
30028120,Iron_oxide,NA,NA
30037455,Iron_oxide,NA,NA
30048114,Iron_oxide,NA,NA
30055399,Iron_oxide,NA,NA
30058139,Hybrid,872.8,Liver
30130088,Silica,NA,NA
30130583,Gold,NA,NA
30141567,Gold,NA,NA
30141615,Hybrid,206.5989848,Liver
30141893,Silica,NA,NA
30179443,Hybrid,NA,NA
30191237,Iron_oxide,2950,Spleen
30226240,Gold,39102.9,Liver
30251542,Gold,325.4,Kidney
30255143,Iron_oxide,NA,NA
30256373,Iron_oxide,NA,Liver
30264982,Gold,NA,NA
30266634,Iron_oxide,660,Liver
30273749,Hybrid,NA,Liver
30277241,Gold,NA,NA
30277747,Iron_oxide,NA,Liver
30284807,Gold,NA,NA
30287265,Iron_oxide,NA,NA
30346694,Hybrid,209.125,Liver
30350653,Gold,88.8,Kidney
30359756,Gold,194.9,Kidney
30387197,Silica,NA,NA
30410684,Silica,29.8,Liver
30487569,Silica,NA,NA
30495920,Iron_oxide,424.2602239,Lung
30548064,Gold,NA,NA
30563320,Silica,NA,NA
30565621,Iron_oxide,NA,NA
30566319,Silica,NA,NA
30594744,Silica,514.2502071,Liver
30597210,Gold,405.5,Lung
30604607,Iron_oxide,NA,Liver
30618237,Gold,NA,NA
30624889,Iron_oxide,NA,NA
30641267,Iron_oxide,NA,NA
30642157,Silica,NA,Liver
30668088,Hybrid,394.5,Liver
30719918,Iron_oxide,NA,NA
30724952,Gold,NA,NA
30730070,Silica,NA,NA
30743049,Silica,4.8,Liver
30773883,Silica,NA,NA
30778211,Gold,NA,NA
30799620,Silica,NA,NA
30803083,Iron_oxide,NA,NA
30803232,Silica,38,Spleen
30839969,Iron_oxide,434.7826087,Spleen
30848541,Silica,NA,NA
